customer_id,avg_distance_to_shops,min_distance_to_shops,max_distance_to_shops,products_purchased,unique_products_purchased,amount_purchased,avg_purchase,avg_price,shops_used,distance_shop_1,distance_shop_2,distance_shop_3,distance_shop_4,distance_shop_5,products_purchased_shop_1,products_purchased_shop_2,products_purchased_shop_3,products_purchased_shop_4,products_purchased_shop_5,unique_products_purchased_shop_1,unique_products_purchased_shop_2,unique_products_purchased_shop_3,unique_products_purchased_shop_4,unique_products_purchased_shop_5,amount_purchased_shop_1,amount_purchased_shop_2,amount_purchased_shop_3,amount_purchased_shop_4,amount_purchased_shop_5,avg_purchase_shop_1,avg_purchase_shop_2,avg_purchase_shop_3,avg_purchase_shop_4,avg_purchase_shop_5,avg_price_shop_1,avg_price_shop_2,avg_price_shop_3,avg_price_shop_4,avg_price_shop_5
34366,322.05145,322.05145,322.05145,57,47,155.99,3.318936,2.4743404,1,815.6101,2846.7896,1219.5717,1498.0773,322.05145,0,0,0,0,57,0,0,0,0,47,0,0,0,0,155.99,0,0,0,0,3.318936,0,0,0,0,2.4743404
34367,2820.1228,2820.1228,2820.1228,1016,416,2895.821,6.961108,3.285072,1,2820.1228,1776.6412,2039.971,4316.999,2577.793,1016,0,0,0,0,416,0,0,0,0,2895.821,0,0,0,0,6.961108,0,0,0,0,3.285072,0,0,0,0
34375,1822.263,1822.263,1822.263,19,15,43.464,2.8976,2.0842667,1,1822.263,4706.978,3082.1873,432.8295,2184.873,19,0,0,0,0,15,0,0,0,0,43.464,0,0,0,0,2.8976,0,0,0,0,2.0842667,0,0,0,0
34384,273.89874,273.89874,273.89874,43,35,147.955,4.227286,3.4117143,1,2983.5356,273.89874,1365.6383,4055.9973,2280.3926,0,43,0,0,0,0,35,0,0,0,0,147.955,0,0,0,0,4.227286,0,0,0,0,3.4117143,0,0,0
34386,2970.7878,2970.7878,2970.7878,2731,599,7779.347,12.987224,5.1605425,1,2970.7878,648.50616,1556.5675,4213.027,2396.0544,2731,0,0,0,0,599,0,0,0,0,7779.347,0,0,0,0,12.987224,0,0,0,0,5.1605425,0,0,0,0
34399,2293.0723,2293.0723,2293.0723,23,21,62.134,2.958762,2.8070476,1,2293.0723,3324.6023,2017.5824,1766.7343,1693.158,23,0,0,0,0,21,0,0,0,0,62.134,0,0,0,0,2.958762,0,0,0,0,2.8070476,0,0,0,0
34401,644.307,644.307,644.307,41,21,73.596,3.5045714,2.1341429,1,3719.0554,644.307,2189.4126,4882.0366,3084.3472,0,41,0,0,0,0,21,0,0,0,0,73.596,0,0,0,0,3.5045714,0,0,0,0,2.1341429,0,0,0
34404,1898.4329,1898.4329,1898.4329,50,34,97.639,2.8717353,2.0760293,1,1898.4329,3855.1501,2332.0305,905.7444,1656.2004,50,0,0,0,0,34,0,0,0,0,97.639,0,0,0,0,2.8717353,0,0,0,0,2.0760293,0,0,0,0
34410,1908.8008,1908.8008,1908.8008,108,83,253.716,3.0568192,2.518783,1,1908.8008,3412.4824,1955.7438,1331.4681,1433.5015,108,0,0,0,0,83,0,0,0,0,253.716,0,0,0,0,3.0568192,0,0,0,0,2.518783,0,0,0,0
34417,1341.5938,1341.5938,1341.5938,198,119,809.884,6.805748,5.2801094,1,1341.5938,4072.4211,2449.308,266.74243,1562.7832,198,0,0,0,0,119,0,0,0,0,809.884,0,0,0,0,6.805748,0,0,0,0,5.2801094,0,0,0,0
34426,4237.611,4237.611,4237.611,3,3,8.609,2.8696666,2.8696666,1,4237.611,7487.6953,5897.0156,3530.3655,4978.1025,3,0,0,0,0,3,0,0,0,0,8.609,0,0,0,0,2.8696666,0,0,0,0,2.8696666,0,0,0,0
34429,1808.3456,1808.3456,1808.3456,19,11,76.454,6.9503636,3.8247273,1,1808.3456,4229.063,2642.2131,400.99915,1836.9716,19,0,0,0,0,11,0,0,0,0,76.454,0,0,0,0,6.9503636,0,0,0,0,3.8247273,0,0,0,0
34432,770.7688,770.7688,770.7688,4,4,21.973,5.49325,5.49325,1,770.7688,2526.939,950.9808,1946.2917,261.2398,4,0,0,0,0,4,0,0,0,0,21.973,0,0,0,0,5.49325,0,0,0,0,5.49325,0,0,0,0
34433,1832.422,1832.422,1832.422,1798,378,4860.933,12.8596115,3.4737513,1,1832.422,4112.013,2542.3865,561.2686,1772.9314,1798,0,0,0,0,378,0,0,0,0,4860.933,0,0,0,0,12.8596115,0,0,0,0,3.4737513,0,0,0,0
34435,2254.9692,2254.9692,2254.9692,132,94,476.198,5.065936,3.8770318,1,2254.9692,3791.6152,2374.5896,1359.8022,1852.8582,132,0,0,0,0,94,0,0,0,0,476.198,0,0,0,0,5.065936,0,0,0,0,3.8770318,0,0,0,0
34454,1809.9015,1809.9015,1809.9015,71,41,182.32,4.4468293,3.3289757,1,1809.9015,3515.996,2017.5067,1150.2181,1416.7994,71,0,0,0,0,41,0,0,0,0,182.32,0,0,0,0,4.4468293,0,0,0,0,3.3289757,0,0,0,0
